#HEADER:ProvinceCode,ProvinceName,KabupatenCode,KabupatenName,KecamatanCode,KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
22328,LAMPUNG,24202,LAMPUNG TIMUR,24404,MATARAM BARU,7243,6867,14110
22328,LAMPUNG,24202,LAMPUNG TIMUR,24434,WAWAY KARYA,7262,11813,19075
22328,LAMPUNG,23903,TANGGAMUS,23940,WONOSOBO,9505,8407,17912
22328,LAMPUNG,23903,TANGGAMUS,24094,KLUMBAYAN,3312,3053,6365
22328,LAMPUNG,24202,LAMPUNG TIMUR,24466,WAY BUNGUR,6184,6650,12834
22328,LAMPUNG,23903,TANGGAMUS,24002,PUGUNG,17210,12849,30059
22328,LAMPUNG,23903,TANGGAMUS,24195,KLUMBAYAN BARAT,2504,4011,6515
22328,LAMPUNG,23903,TANGGAMUS,24029,SEMAKA,9700,10814,20514
22328,LAMPUNG,23903,TANGGAMUS,23964,PULAU PANGGUNG,10590,8366,18956
22328,LAMPUNG,23903,TANGGAMUS,23983,CUKUH BALAK,6671,5921,12592
22328,LAMPUNG,24202,LAMPUNG TIMUR,24412,MELINTING,7092,6258,13350
22328,LAMPUNG,24202,LAMPUNG TIMUR,24221,LABUHAN MARINGGAI,15344,17773,33117
22328,LAMPUNG,24202,LAMPUNG TIMUR,24375,BATANGHARI NUBAN,13191,11497,24688
22328,LAMPUNG,24202,LAMPUNG TIMUR,24233,JABUNG,14974,11938,26912
22328,LAMPUNG,23903,TANGGAMUS,24050,SUMBER REJO,7162,11835,18997
22328,LAMPUNG,24202,LAMPUNG TIMUR,24446,LABUHAN RATU,9509,14686,24195
22328,LAMPUNG,24202,LAMPUNG TIMUR,24203,SUKADANA,16048,20971,37019
22328,LAMPUNG,24484,WAY KANAN,24485,BLAMBANGAN UMPU,15627,17377,33004
22328,LAMPUNG,24202,LAMPUNG TIMUR,24337,METRO KIBANG,3696,8757,12453
22328,LAMPUNG,24202,LAMPUNG TIMUR,24325,RAMAN UTARA,8379,13592,21971
22328,LAMPUNG,24202,LAMPUNG TIMUR,24312,PURBOLINGGO,11947,12203,24150
22328,LAMPUNG,24202,LAMPUNG TIMUR,24419,GUNUNG PELINDUNG,5656,4853,10509
22328,LAMPUNG,24202,LAMPUNG TIMUR,24425,PASIR SAKTI,7267,11532,18799
22328,LAMPUNG,24202,LAMPUNG TIMUR,24458,BRAJA SELEBAH,4243,7450,11693
22328,LAMPUNG,24202,LAMPUNG TIMUR,24249,PEKALONGAN,12982,14914,27896
22328,LAMPUNG,24202,LAMPUNG TIMUR,24345,MARGA TIGA,9349,15063,24412
22328,LAMPUNG,24202,LAMPUNG TIMUR,24359,SEKAMPUNG UDIK,12570,25441,38011
22328,LAMPUNG,24484,WAY KANAN,24691,BUAY BAHUGA,6544,4884,11428
22328,LAMPUNG,24484,WAY KANAN,24602,NEGERI AGUNG,8245,12719,20964
22328,LAMPUNG,24484,WAY KANAN,24621,WAY TUBA,6969,5816,12785
22328,LAMPUNG,24484,WAY KANAN,24645,GUNUNG LABUHAN,7220,7314,14534
22328,LAMPUNG,24202,LAMPUNG TIMUR,24475,MARGA SEKAMPUNG,5634,9094,14728
22328,LAMPUNG,24484,WAY KANAN,24573,BAHUGA,2582,3552,6134
22328,LAMPUNG,24202,LAMPUNG TIMUR,24260,SEKAMPUNG,13038,22103,35141
22328,LAMPUNG,24202,LAMPUNG TIMUR,24296,WAY JEPARA,11540,16469,28009
22328,LAMPUNG,24202,LAMPUNG TIMUR,24278,BATANGHARI,14832,17860,32692
22328,LAMPUNG,24484,WAY KANAN,24680,NEGERI BESAR,3560,7351,10911
22328,LAMPUNG,24850,PESAWARAN,24871,NEGERI KATON,16088,19953,36041
22328,LAMPUNG,24484,WAY KANAN,24665,NEGARA BATIN,6849,12418,19267
22328,LAMPUNG,24484,WAY KANAN,24634,REBANG TANGKAS,4776,6773,11549
22328,LAMPUNG,24850,PESAWARAN,24972,KEDONDONG,9382,8520,17902
22328,LAMPUNG,24850,PESAWARAN,83502,WAY KHILAU,8782,5561,14343
22328,LAMPUNG,24850,PESAWARAN,24892,TEGINENENG,12054,18464,30518
22328,LAMPUNG,24484,WAY KANAN,24699,BUMI AGUNG,7544,7178,14722
22328,LAMPUNG,24850,PESAWARAN,24925,PADANG CERMIN,18576,29941,48517
22328,LAMPUNG,24850,PESAWARAN,24851,GEDONG TATAAN,29078,23615,52693
22328,LAMPUNG,22329,PRINGSEWU,22360,AMBARAWA,8945,10042,18987
22328,LAMPUNG,24850,PESAWARAN,24908,WAY LIMA,12499,8331,20830
22328,LAMPUNG,22329,PRINGSEWU,22330,PRINGSEWU,20392,23527,43919
22328,LAMPUNG,24484,WAY KANAN,24510,KASUI,8025,8924,16949
22328,LAMPUNG,22329,PRINGSEWU,22425,SUKOHARJO,12013,12248,24261
